t,fe0,fe3,x,y,z,b,vel,spindle_on,spindle_rpm
51.402,0.005000,0.004400,-3729.3750,-1228.9960,-159.2515,50771.981,0.6350,1,5675
51.603,0.005000,0.004400,-3729.3750,-1228.8720,-159.2528,50781.198,0.6350,1,5675
51.803,0.005000,-0.000600,-3729.3750,-1228.7440,-159.2515,50791.085,0.6350,1,5675
52.004,0.005000,-0.000600,-3729.3750,-1228.6120,-159.2502,50800.829,0.6350,1,5675
52.204,-0.005000,-0.005600,-3729.3650,-1228.4880,-159.2477,50810.093,0.6350,1,5675
52.405,-0.010000,-0.005600,-3729.3600,-1228.3520,-159.2477,50819.935,0.6350,1,5675
52.605,-0.005000,-0.000600,-3729.3650,-1228.2280,-159.2489,50829.678,0.6350,1,5675
52.806,0.000000,-0.000600,-3729.3700,-1228.1040,-159.2489,50839.326,0.6350,1,5675
53.006,-0.005000,-0.000600,-3729.3650,-1227.9840,-159.2489,50848.589,0.6350,1,5675
53.207,-0.005000,-0.000600,-3729.3650,-1227.8520,-159.2477,50858.381,0.6350,1,5675
53.407,-0.005000,-0.000600,-3729.3650,-1227.7240,-159.2489,50868.221,0.6350,1,5675
53.608,-0.005000,-0.000600,-3729.3650,-1227.6000,-159.2489,50877.581,0.6350,1,5675
53.809,-0.005000,-0.000600,-3729.3650,-1227.4680,-159.2489,50887.517,0.6350,1,5675
54.010,0.000000,0.004400,-3729.3700,-1227.3400,-159.2489,50896.926,0.6350,1,5675
54.211,-0.005000,0.004400,-3729.3650,-1227.2120,-159.2477,50906.334,0.6350,1,5675
54.412,-0.005000,0.004400,-3729.3650,-1227.0760,-159.2489,50916.320,0.6350,1,5675
54.614,-0.005000,0.004400,-3729.3650,-1226.9520,-159.2477,50926.109,0.6350,1,5675
54.815,-0.005000,0.004400,-3729.3650,-1226.8320,-159.2489,50935.470,0.6350,1,5675
55.015,-0.005000,0.004400,-3729.3650,-1226.7040,-159.2502,50945.263,0.6350,1,5675
